Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Gran Turismo 4,PS2,Sony Computer Entertainment,Racing,89.0,8.5,2004.0
Super Mario Galaxy,Wii,Nintendo,Platform,97.0,8.9,2007.0
Grand Theft Auto IV,X360,Take-Two Interactive,Action,98.0,7.9,2008.0
Gran Turismo,PS,Sony Computer Entertainment,Racing,96.0,8.7,1997.0
Super Mario 3D Land,3DS,Nintendo,Platform,90.0,8.4,2011.0
Gran Turismo 5,PS3,Sony Computer Entertainment,Racing,84.0,7.5,2010.0
Call of Duty: Modern Warfare 2,PS3,Activision,Shooter,94.0,6.3,2009.0
Grand Theft Auto IV,PS3,Take-Two Interactive,Action,98.0,7.5,2008.0
Call of Duty: Ghosts,X360,Activision,Shooter,73.0,2.6,2013.0
Just Dance 3,Wii,Ubisoft,Misc,74.0,7.8,2011.0
New Super Mario Bros. 2,3DS,Nintendo,Platform,78.0,7.2,2012.0
Halo: Reach,X360,Microsoft Game Studios,Shooter,91.0,7.9,2010.0
Final Fantasy VII,PS,Sony Computer Entertainment,Role-Playing,92.0,9.2,1997.0
Halo 4,X360,Microsoft Game Studios,Shooter,87.0,7.0,2012.0
Gran Turismo 2,PS,Sony Computer Entertainment,Racing,93.0,9.0,1999.0
Just Dance 2,Wii,Ubisoft,Misc,74.0,7.3,2010.0
Call of Duty: Ghosts,PS3,Activision,Shooter,71.0,2.6,2013.0
Call of Duty 4: Modern Warfare,X360,Activision,Shooter,94.0,8.4,2007.0
Animal Crossing: New Leaf,3DS,Nintendo,Simulation,88.0,8.7,2012.0
Mario Party DS,DS,Nintendo,Misc,72.0,7.8,2007.0
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,96.0,8.4,2011.0
FIFA 16,PS4,Electronic Arts,Sports,82.0,4.3,2015.0
Halo 2,XB,Microsoft Game Studios,Shooter,95.0,8.2,2004.0
Wii Party,Wii,Nintendo,Misc,68.0,7.4,2010.0
Mario Party 8,Wii,Nintendo,Misc,62.0,6.3,2007.0
FIFA Soccer 13,PS3,Electronic Arts,Action,88.0,6.6,2012.0
Final Fantasy X,PS2,Sony Computer Entertainment,Role-Playing,92.0,8.7,2001.0
The Sims 3,PC,Electronic Arts,Simulation,86.0,7.6,2009.0
Final Fantasy VIII,PS,SquareSoft,Role-Playing,90.0,8.6,1999.0
Pokemon Platinum Version,DS,Nintendo,Role-Playing,83.0,8.5,2008.0
Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,Action,88.0,7.6,2005.0
Call of Duty: Advanced Warfare,PS4,Activision,Shooter,83.0,5.7,2014.0
FIFA 17,PS4,Electronic Arts,Sports,85.0,5.0,2016.0
Super Mario Galaxy 2,Wii,Nintendo,Platform,97.0,9.1,2010.0
Call of Duty: World at War,X360,Activision,Shooter,84.0,7.6,2008.0
Battlefield 3,X360,Electronic Arts,Shooter,84.0,7.4,2011.0
Need for Speed Underground,PS2,Electronic Arts,Racing,85.0,8.6,2003.0
Just Dance,Wii,Ubisoft,Misc,49.0,8.0,2009.0
Battlefield 3,PS3,Electronic Arts,Shooter,85.0,7.5,2011.0
Fallout 4,PS4,Bethesda Softworks,Role-Playing,87.0,6.5,2015.0
Tekken 3,PS,Sony Computer Entertainment,Fighting,96.0,9.1,1998.0
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Action,95.0,9.0,2006.0
Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Platform,91.0,8.9,1998.0
Mario Kart 8,WiiU,Nintendo,Racing,88.0,9.1,2014.0
Super Smash Bros. Melee,GC,Nintendo,Fighting,92.0,9.1,2001.0
Need for Speed Underground 2,PS2,Electronic Arts,Racing,82.0,8.6,2004.0
Medal of Honor: Frontline,PS2,Electronic Arts,Shooter,88.0,8.5,2002.0
Just Dance 4,Wii,Ubisoft,Misc,74.0,7.3,2012.0
Gears of War 2,X360,Microsoft Game Studios,Shooter,93.0,7.7,2008.0
Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Action,92.0,8.3,2011.0
Call of Duty 4: Modern Warfare,PS3,Activision,Shooter,94.0,8.4,2007.0
Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Action,96.0,8.8,2009.0
Big Brain Academy,DS,Nintendo,Misc,74.0,7.4,2005.0
Red Dead Redemption,PS3,Take-Two Interactive,Action,95.0,8.8,2010.0
FIFA 14,PS3,Electronic Arts,Sports,86.0,4.3,2013.0
Assassin's Creed III,PS3,Ubisoft,Action,85.0,6.9,2012.0
Donkey Kong Country Returns,Wii,Nintendo,Platform,87.0,8.6,2010.0
Halo: Combat Evolved,XB,Microsoft Game Studios,Shooter,97.0,8.6,2001.0
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Role-Playing,92.0,6.4,2011.0
PokÃƒÂ©mon Emerald Version,GBA,Nintendo,Role-Playing,76.0,9.0,2004.0
Kingdom Hearts,PS2,Sony Computer Entertainment,Role-Playing,85.0,8.8,2002.0
Halo 3: ODST,X360,Microsoft Game Studios,Shooter,83.0,7.1,2009.0
Red Dead Redemption,X360,Take-Two Interactive,Action,95.0,9.0,2010.0
Super Mario Sunshine,GC,Nintendo,Platform,92.0,8.6,2002.0
World of Warcraft,PC,Activision,Role-Playing,93.0,7.3,2004.0
Driver,PS,GT Interactive,Action,87.0,8.1,1999.0
Gears of War 3,X360,Microsoft Game Studios,Shooter,91.0,7.8,2011.0
Kinect Sports,X360,Microsoft Game Studios,Sports,73.0,7.4,2010.0
Gears of War,X360,Microsoft Game Studios,Shooter,94.0,8.3,2006.0
FIFA 15,PS4,Electronic Arts,Sports,82.0,5.7,2014.0
Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,Action,96.0,8.7,2001.0
Metal Gear Solid,PS,Konami Digital Entertainment,Action,94.0,9.4,1998.0
Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,Action,94.0,8.7,2008.0
Final Fantasy XII,PS2,Square Enix,Role-Playing,92.0,7.6,2006.0
The Last of Us,PS3,Sony Computer Entertainment Europe,Action,95.0,9.1,2013.0
LittleBigPlanet,PS3,Sony Computer Entertainment,Platform,95.0,6.8,2008.0
Resident Evil 2,PS,Virgin Interactive,Action,89.0,9.2,1998.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Role-Playing,87.0,8.8,2009.0
Tekken 2,PS,Sony Computer Entertainment,Fighting,89.0,8.9,1996.0
Destiny,PS4,Activision,Shooter,76.0,6.1,2014.0
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Action,80.0,8.9,2007.0
Cooking Mama,DS,505 Games,Simulation,67.0,7.2,2006.0
Assassin's Creed II,PS3,Ubisoft,Action,91.0,8.6,2009.0
Assassin's Creed,X360,Ubisoft,Adventure,81.0,7.7,2007.0
Forza Motorsport 3,X360,Microsoft Game Studios,Racing,92.0,8.0,2009.0
Super Mario Advance,GBA,Nintendo,Platform,84.0,7.8,2001.0
Monster Hunter Freedom Unite,PSP,Capcom,Role-Playing,81.0,8.7,2008.0
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Action,96.0,8.6,2011.0
Grand Theft Auto V,XOne,Take-Two Interactive,Action,97.0,7.9,2014.0
Mario Kart: Super Circuit,GBA,Nintendo,Racing,93.0,8.3,2001.0
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Platform,66.0,7.1,2001.0
Call of Duty: World at War,PS3,Activision,Shooter,85.0,7.6,2008.0
Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,Shooter,93.0,7.9,2016.0
Final Fantasy XIII,PS3,Square Enix,Role-Playing,83.0,7.3,2009.0
Final Fantasy IX,PS,SquareSoft,Role-Playing,94.0,8.9,2000.0
Assassin's Creed III,X360,Ubisoft,Action,84.0,6.7,2012.0
Final Fantasy X-2,PS2,Electronic Arts,Role-Playing,85.0,6.6,2003.0
Call of Duty: Advanced Warfare,XOne,Activision,Shooter,81.0,5.4,2014.0
Assassin's Creed II,X360,Ubisoft,Action,90.0,8.8,2009.0
New Super Mario Bros. U,WiiU,Nintendo,Platform,84.0,8.1,2012.0
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Role-Playing,89.0,8.8,2004.0
Professor Layton and the Curious Village,DS,Nintendo,Puzzle,85.0,8.6,2007.0
FIFA Soccer 13,X360,Electronic Arts,Action,90.0,6.1,2012.0
Diablo III,PC,Activision,Role-Playing,88.0,4.0,2012.0
Medal of Honor: Rising Sun,PS2,Electronic Arts,Shooter,68.0,7.6,2003.0
Guitar Hero II,PS2,RedOctane,Misc,92.0,8.5,2006.0
Fable III,X360,Microsoft Game Studios,Role-Playing,80.0,6.5,2010.0
Resident Evil 5,PS3,Capcom,Action,84.0,7.5,2009.0
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Action,90.0,8.0,2007.0
FIFA Soccer 11,PS3,Electronic Arts,Sports,89.0,8.0,2010.0
